product_name,price
Dr Vaku® Lightning to USB Cable 2.4A Fast Charging & Data Sync Cord Compatible with iPhone 14/13/12/11/X/XS/XR/8/7/6/SE Plus Pro Max Mini,Rs.  438
PD 20W Power Delivery Original Fast Charger with USB-C to Lightning Cable for iPhone 14/14Plus/14Pro/14Pro max 13/13Pro/13Pro max 12/12Pro/12/11/X/Xr Series,Rs.  513
Imported 6 A Charging + Data Transfer Type C - Lightning Cable 1 Meter for iPhone  8 to 14 all variants,Rs.  203
PD 20W Power Delivery Original Fast Charge Adaptor for iPhone 14/14Plus/14Pro/14Pro max 13/13Pro/13Pro max & Android Smartphones,Rs.  429
Icynics Tempered Glass Compatible For Apple iPhone 14 Pro ( Pack of 1 ),Rs.  235
"Plugtech 1m USB to Lightning Cable - Braided, 3A Fast Charging Cord for iPhone 14, iPad Air, iPod & More Apple Devices",Rs.  177
"Digimate iPhone 20W PD Charger with Type-C to Type-C Cable Compatible for iPhone 14/15/16/17/Pro/Max (DG-ADP-1004, White)",Rs.  488
BIG WINGS Hybrid Covers Compatible For Polycarbonate Apple iPhone 14 Pro ( Pack of 1 ),Rs.  288
BIG WINGS Shock Proof Case Compatible For Polycarbonate Apple iPhone 14 Pro ( Pack of 1 ),Rs.  388
ANDVYA Plain Cases Compatible For Silicon IPHONE 14 ( Pack of 1 ),Rs.  158
ANDVYA Shock Proof Case Compatible For Silicon IPHONE 14 ( Pack of 1 ),Rs.  238
BIG WINGS Plain Cases Compatible For Polycarbonate Apple iPhone 14 Plus ( Pack of 1 ),Rs.  299
BIG WINGS Blue Printed Back Cover Polycarbonate Compatible For Apple iPhone 14 Pro Max ( Pack of 1 ),Rs.  338
BIG WINGS Shock Proof Case Compatible For Polycarbonate Apple iPhone 14 Pro Max ( Pack of 1 ),Rs.  308
BIG WINGS Shock Proof Case Compatible For Polycarbonate Apple iPhone 14 Pro ( Pack of 1 ),Rs.  388
BIG WINGS Shock Proof Case Compatible For Polycarbonate Apple iPhone 14 ( Pack of 1 ),Rs.  308
BIG WINGS Shock Proof Case Compatible For Polycarbonate Apple iPhone 14 Pro Max ( Pack of 1 ),Rs.  288
BIG WINGS Shock Proof Case Compatible For Polycarbonate Apple iPhone 14 Pro Max ( Pack of 1 ),Rs.  288
Icynics Tempered Glass Compatible For Apple iPhone 14 Plus ( Pack of 1 ),Rs.  235
BIG WINGS Brown Printed Back Cover Artificial Leather Compatible For Apple iPhone 14 Pro ( Pack of 1 ),Rs.  288
